Date : 2022-12-07 22:12:23
Directory : d:\OOAD Project\Veta
Total : 74 files,  6458 codes, 614 comments, 526 blanks, all 7598 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         28 |      4,960 |        344 |        272 |      5,576 |
| C++        |         16 |        502 |        107 |        170 |        779 |
| XML        |         10 |        468 |         48 |         12 |        528 |
| JSON       |          5 |        287 |          0 |          4 |        291 |
| Groovy     |          3 |         93 |          5 |         22 |        120 |
| Swift      |          4 |         50 |          3 |         12 |         65 |
| HTML       |          1 |         37 |         16 |          6 |         59 |
| YAML       |          2 |         36 |         82 |         18 |        136 |
| Java       |          1 |         13 |          9 |          4 |         26 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| Markdown   |          2 |          4 |          0 |          4 |          8 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                             |         74 |      6,458 |        614 |        526 |      7,598 |
| android                                                                                       |         14 |        217 |         60 |         37 |        314 |
| android\app                                                                                   |         10 |        173 |         60 |         26 |        259 |
| android\app\src                                                                               |          8 |         77 |         55 |         13 |        145 |
| android\app\src\debug                                                                         |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                          |          6 |         69 |         47 |         11 |        127 |
| android\app\src\main\java                                                                     |          1 |         13 |          9 |          4 |         26 |
| android\app\src\main\java\io                                                                  |          1 |         13 |          9 |          4 |         26 |
| android\app\src\main\java\io\flutter                                                          |          1 |         13 |          9 |          4 |         26 |
| android\app\src\main\java\io\flutter\app                                                      |          1 |         13 |          9 |          4 |         26 |
| android\app\src\main\res                                                                      |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                             |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                         |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                               |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                         |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                       |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                        |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                           |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                    |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                    |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                 |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                               |          2 |         26 |          0 |          3 |         29 |
